"Literacy rate, adult (% ages 15 and older)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"170","Afghanistan","..","","..","","..","","..","","..","","31.7","","..","","..","","..","","..","","..","","..","","..",""
"69","Albania","..","","..","","..","","..","","..","","96.8","","97.2","","..","","..","","..","","..","","..","","..",""
"149","Angola","..","","..","","..","","..","","..","","..","","..","","..","","66.0","","..","","..","","..","","..",""
"74","Antigua and Barbuda","..","","..","","..","","..","","..","","..","","..","","..","","..","","99.0","","..","","..","","..",""
"48","Argentina","..","","..","","..","","..","","99.0","","99.1","","99.1","","99.1","","99.0","","99.2","","99.1","","..","","..",""
"81","Armenia","..","","..","","..","","..","","..","","99.7","","..","","..","","..","","..","","..","","..","","..",""
"87","Azerbaijan","..","","..","","..","","..","","99.8","","99.8","","99.8","","99.8","","99.8","","99.8","","99.8","","..","","..",""
"45","Bahrain","..","","..","","..","","..","","94.6","","..","","..","","..","","..","","..","","94.9","","..","","..",""
"135","Bangladesh","..","","..","","..","","..","","..","","58.8","","57.9","","61.0","","61.1","","65.1","","72.8","","72.9","","..",""
"56","Barbados","..","","..","","..","","..","","..","","..","","..","","..","","99.6","","..","","..","","..","","..",""
"163","Benin","..","","..","","..","","..","","..","","..","","32.9","","..","","..","","..","","..","","..","","..",""
"134","Bhutan","..","","..","","..","","52.8","","..","","..","","57.0","","..","","..","","..","","..","","..","","..",""
"114","Bolivia (Plurinational State of)","..","","..","","..","","..","","..","","92.2","","94.5","","..","","..","","92.5","","..","","..","","..",""
"75","Bosnia and Herzegovina","..","","..","","96.7","","..","","..","","98.1","","..","","97.0","","..","","..","","..","","..","","..",""
"94","Botswana","..","","..","","..","","..","","..","","..","","..","","..","","87.7","","..","","..","","..","","..",""
"79","Brazil","..","","..","","86.4","","..","","90.4","","91.4","","91.3","","91.5","","91.7","","92.0","","..","","..","","..",""
"43","Brunei Darussalam","..","","..","","..","","..","","..","","96.1","","..","","..","","..","","..","","..","","..","","..",""
"52","Bulgaria","..","","..","","..","","..","","..","","98.4","","..","","..","","..","","..","","..","","..","","..",""
"182","Burkina Faso","..","","..","","..","","23.6","","..","","..","","..","","..","","34.6","","..","","..","","..","","..",""
"185","Burundi","37.4","","..","","59.3","","..","","..","","..","","..","","..","","61.6","","..","","..","","..","","..",""
"126","Cabo Verde","62.8","","..","","..","","..","","..","","..","","85.3","","..","","..","","86.8","","..","","..","","..",""
"146","Cambodia","..","","..","","..","","..","","..","","..","","..","","..","","78.1","","80.5","","..","","..","","..",""
"150","Cameroon","..","","..","","68.4","","..","","71.3","","..","","..","","..","","..","","..","","..","","..","","..",""
"188","Central African Republic","..","","..","","50.6","","..","","36.8","","..","","..","","..","","..","","..","","..","","..","","..",""
"187","Chad","..","","..","","25.7","","..","","..","","..","","..","","..","","..","","26.0","","22.3","","..","","..",""
