"Primary school dropout rate (% of primary school cohort)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"69","Albania","..","","18.0","","10.4","","..","","2.1","","1.2","","1.3","","1.3","","4.3","","11.2","","6.8","","..",""
"82","Algeria","9.8","","10.1","","5.4","","9.1","","5.4","","7.2","","3.8","","6.6","","6.2","","6.4","","5.2","","..",""
"36","Andorra","..","","..","","..","","..","","..","","..","","..","","29.3","","28.8","","..","","30.7","","..",""
"149","Angola","65.4","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"48","Argentina","..","","..","","9.2","","5.5","","6.9","","3.7","","5.4","","4.0","","4.7","","2.5","","..","","..",""
"81","Armenia","..","","..","","..","","1.5","","4.0","","5.8","","..","","9.8","","0.7","","5.3","","6.4","","..",""
"20","Austria","..","","..","","..","","..","","0.6","","0.3","","0.4","","0.5","","0.6","","0.4","","..","","..",""
"87","Azerbaijan","..","","1.4","","4.0","","3.1","","2.8","","1.8","","1.2","","2.7","","2.4","","1.1","","5.4","","..",""
"60","Bahamas","..","","..","","..","","18.6","","..","","..","","..","","..","","..","","..","","..","","..",""
"45","Bahrain","..","","18.7","","7.7","","..","","..","","2.2","","..","","..","","..","","1.4","","3.4","","..",""
"56","Barbados","..","","..","","..","","8.9","","6.6","","..","","..","","..","","..","","..","","..","","..",""
"50","Belarus","..","","2.4","","1.1","","0.8","","1.8","","0.9","","1.3","","1.7","","1.6","","1.2","","2.1","","..",""
"103","Belize","..","","30.0","","16.4","","9.3","","9.1","","..","","9.1","","5.3","","1.2","","..","","7.0","","..",""
"163","Benin","37.0","","48.4","","24.3","","..","","44.2","","40.7","","46.8","","46.6","","42.7","","52.5","","..","","..",""
"134","Bhutan","..","","..","","18.6","","15.7","","9.0","","5.1","","21.1","","..","","..","","..","","11.3","","..",""
"114","Bolivia (Plurinational State of)","..","","..","","..","","..","","13.1","","9.8","","3.3","","5.3","","3.5","","4.1","","5.3","","..",""
"75","Bosnia and Herzegovina","..","","..","","..","","..","","19.4","","16.7","","17.2","","13.5","","3.0","","4.4","","1.6","","..",""
"94","Botswana","..","","14.3","","15.5","","13.2","","..","","..","","6.0","","..","","..","","..","","..","","..",""
"79","Brazil","..","","..","","19.9","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"43","Brunei Darussalam","..","","..","","..","","3.5","","3.4","","3.6","","..","","..","","..","","..","","6.8","","..",""
"52","Bulgaria","5.1","","5.7","","5.3","","5.2","","3.4","","3.1","","4.0","","2.2","","3.9","","6.5","","..","","..",""
"182","Burkina Faso","29.2","","..","","38.7","","35.6","","..","","31.0","","30.9","","30.5","","33.8","","31.2","","34.4","","..",""
"185","Burundi","..","","..","","46.2","","..","","49.3","","56.2","","51.0","","47.4","","55.4","","55.7","","56.8","","..",""
"126","Cabo Verde","..","","..","","..","","12.5","","10.7","","..","","8.6","","9.4","","11.0","","9.9","","..","","..",""
"146","Cambodia","..","","..","","45.3","","44.9","","38.7","","34.1","","35.8","","53.1","","..","","26.5","","23.8","","..",""
"150","Cameroon","40.5","","..","","..","","..","","42.9","","30.2","","..","","..","","34.2","","42.9","","58.8","","..",""
"188","Central African Republic","71.6","","..","","..","","..","","53.5","","53.4","","..","","..","","..","","..","","..","","..",""
"187","Chad","57.9","","68.1","","53.1","","69.9","","50.7","","61.9","","49.0","","..","","..","","71.4","","..","","..",""
"42","Chile","..","","..","","..","","..","","2.1","","1.3","","..","","0.5","","0.4","","0.6","","0.5","","..",""
"85","China","14.9","","7.8","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"79","Colombia","..","","28.5","","39.1","","19.2","","12.6","","15.3","","28.0","","16.5","","11.7","","10.0","","8.3","","..",""
"156","Comoros","..","","..","","..","","..","","..","","..","","..","","29.1","","..","","..","","..","","..",""
"138","Congo","..","","62.2","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"179","Congo (Democratic Republic of the)","..","","..","","..","","..","","45.5","","29.3","","44.6","","..","","54.7","","..","","..","","..",""
"68","Costa Rica","22.8","","16.9","","9.5","","9.5","","9.0","","11.5","","12.3","","9.6","","6.1","","5.6","","..","","..",""
"46","Croatia","..","","1.9","","0.5","","0.5","","0.7","","0.6","","0.7","","2.1","","1.0","","2.6","","..","","..",""
"72","Cuba","11.1","","..","","4.0","","3.1","","5.0","","3.5","","4.2","","3.5","","5.4","","4.5","","4.2","","..",""
"31","Cyprus","..","","..","","1.2","","1.3","","..","","..","","5.6","","9.2","","2.4","","..","","..","","..",""
"26","Czechia","..","","..","","1.5","","0.6","","0.8","","0.7","","0.8","","0.7","","0.5","","0.5","","..","","..",""
"165","Côte d'Ivoire","36.8","","31.3","","12.7","","..","","..","","17.8","","26.9","","26.0","","17.3","","18.0","","26.7","","..",""
"11","Denmark","1.1","","..","","0.1","","..","","..","","..","","1.6","","0.5","","0.2","","..","","..","","..",""
"171","Djibouti","21.5","","18.0","","..","","..","","..","","..","","24.1","","15.6","","..","","..","","..","","..",""
"98","Dominica","..","","..","","20.6","","15.2","","9.5","","12.2","","13.6","","15.0","","20.5","","..","","..","","..",""
"89","Dominican Republic","..","","..","","..","","..","","..","","20.8","","..","","21.4","","..","","16.2","","21.0","","..",""
"85","Ecuador","..","","24.6","","24.3","","24.4","","5.1","","14.5","","6.3","","..","","..","","..","","..","","..",""
"116","Egypt","..","","..","","1.0","","6.8","","..","","..","","..","","..","","..","","..","","3.6","","..",""
"124","El Salvador","..","","32.6","","35.9","","32.7","","16.0","","16.1","","16.2","","17.4","","21.9","","22.0","","25.7","","..",""
"144","Equatorial Guinea","..","","..","","..","","..","","44.7","","27.9","","..","","..","","..","","..","","..","","..",""
"182","Eritrea","..","","21.4","","39.5","","26.3","","7.0","","15.2","","22.4","","..","","26.9","","..","","..","","..",""
"30","Estonia","..","","4.5","","1.5","","3.8","","2.9","","3.0","","3.4","","2.4","","2.0","","0.8","","..","","..",""
"138","Eswatini (Kingdom of)","35.5","","42.0","","41.5","","17.0","","32.7","","30.7","","25.3","","21.5","","20.9","","19.7","","..","","..",""
"173","Ethiopia","..","","45.1","","38.8","","39.2","","59.3","","63.4","","..","","..","","61.8","","..","","..","","..",""
"98","Fiji","..","","19.8","","13.9","","..","","..","","3.5","","2.8","","..","","..","","8.8","","..","","..",""
"12","Finland","1.1","","1.5","","0.7","","0.7","","0.4","","0.4","","0.6","","0.4","","0.2","","0.2","","..","","..",""
"26","France","3.4","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"115","Gabon","..","","47.2","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"174","Gambia","..","","26.0","","27.1","","38.3","","37.0","","17.2","","27.0","","22.8","","22.2","","24.9","","..","","..",""
"70","Georgia","..","","1.8","","5.2","","1.2","","..","","6.9","","0.2","","1.3","","3.7","","0.8","","1.2","","..",""
"4","Germany","..","","0.8","","1.0","","2.0","","3.4","","3.8","","3.5","","..","","..","","..","","..","","..",""
"142","Ghana","..","","..","","40.6","","..","","..","","..","","21.1","","16.3","","..","","..","","15.0","","18.4",""
"32","Greece","..","","..","","..","","2.5","","7.1","","5.6","","9.3","","8.3","","..","","4.0","","..","","..",""
"126","Guatemala","..","","55.5","","49.6","","36.7","","29.1","","33.3","","32.3","","28.2","","25.2","","..","","21.6","","..",""
"174","Guinea","34.2","","..","","..","","26.0","","..","","41.4","","..","","34.1","","..","","..","","..","","..",""
"123","Guyana","..","","..","","34.9","","..","","..","","7.8","","..","","..","","..","","..","","..","","..",""
"132","Honduras","..","","45.2","","..","","19.0","","25.2","","30.4","","30.3","","24.6","","..","","17.4","","17.3","","..",""
"4","Hong Kong, China (SAR)","2.7","","0.6","","..","","..","","0.6","","1.0","","1.0","","1.6","","1.7","","1.8","","1.2","","..",""
"43","Hungary","1.8","","..","","5.6","","2.0","","1.5","","1.6","","2.0","","1.7","","2.1","","1.6","","..","","..",""
"6","Iceland","..","","..","","1.1","","2.5","","2.9","","2.1","","..","","..","","..","","..","","..","","..",""
"129","India","..","","..","","41.0","","..","","..","","..","","..","","18.2","","6.7","","9.8","","12.3","","..",""
"111","Indonesia","21.2","","15.1","","..","","..","","12.0","","11.0","","18.2","","18.1","","..","","..","","2.4","","..",""
"65","Iran (Islamic Republic of)","9.2","","..","","2.6","","..","","1.9","","3.8","","..","","..","","2.5","","2.1","","4.0","","..",""
"22","Israel","..","","..","","..","","0.8","","1.1","","1.1","","1.2","","0.8","","1.1","","0.8","","1.4","","..",""
"29","Italy","..","","..","","..","","0.6","","0.5","","0.7","","1.1","","0.6","","0.8","","0.8","","..","","..",""
"96","Jamaica","12.2","","..","","14.8","","..","","..","","..","","13.9","","5.1","","..","","..","","6.6","","..",""
"19","Japan","0.1","","..","","..","","..","","..","","..","","..","","0.1","","0.0","","0.1","","..","","..",""
"102","Jordan","..","","..","","..","","..","","2.1","","..","","..","","..","","..","","..","","..","","..",""
"50","Kazakhstan","..","","..","","5.0","","0.7","","0.2","","0.4","","0.7","","1.1","","1.2","","1.0","","1.7","","0.8",""
"147","Kenya","..","","..","","..","","..","","..","","..","","..","","..","","7.0","","..","","..","","..",""
"22","Korea (Republic of)","0.3","","..","","1.2","","1.4","","1.0","","0.8","","0.4","","0.6","","0.5","","0.6","","..","","..",""
"57","Kuwait","..","","1.6","","5.2","","..","","..","","5.9","","4.3","","..","","..","","3.9","","7.7","","..",""
"122","Kyrgyzstan","..","","3.8","","7.0","","1.9","","4.7","","2.9","","2.3","","1.2","","3.3","","1.7","","2.4","","..",""
"140","Lao People's Democratic Republic","..","","..","","46.5","","37.8","","32.0","","30.1","","26.7","","22.4","","21.3","","20.4","","18.9","","..",""
"39","Latvia","..","","4.0","","2.7","","2.2","","6.9","","9.7","","7.6","","6.5","","4.8","","3.4","","3.6","","..",""
"93","Lebanon","..","","..","","3.7","","12.2","","9.5","","6.7","","..","","9.8","","..","","15.9","","6.0","","..",""
"164","Lesotho","43.2","","50.0","","45.0","","36.9","","36.1","","36.1","","43.2","","32.6","","35.1","","30.7","","..","","..",""
"18","Liechtenstein","..","","..","","..","","..","","..","","24.9","","..","","..","","3.3","","2.7","","..","","..",""
"34","Lithuania","..","","2.0","","1.4","","3.3","","3.6","","2.5","","3.3","","2.8","","1.7","","1.8","","..","","..",""
"21","Luxembourg","..","","..","","..","","..","","..","","..","","15.2","","17.1","","..","","..","","..","","..",""
"162","Madagascar","60.6","","59.2","","63.9","","64.0","","60.5","","59.3","","62.0","","59.9","","57.4","","64.9","","..","","..",""
"172","Malawi","60.6","","71.6","","62.8","","63.9","","49.1","","50.9","","37.7","","45.9","","..","","..","","..","","..",""
"61","Malaysia","3.7","","..","","..","","1.1","","..","","..","","..","","5.8","","8.0","","..","","3.6","","..",""
"104","Maldives","..","","..","","..","","..","","..","","17.2","","17.8","","..","","..","","9.6","","6.7","","..",""
"184","Mali","..","","..","","16.6","","26.5","","24.5","","38.4","","..","","..","","..","","..","","..","","..",""
"28","Malta","..","","..","","2.1","","..","","4.3","","5.5","","1.7","","3.1","","3.4","","..","","..","","..",""
"117","Marshall Islands","..","","..","","..","","21.6","","..","","..","","..","","..","","..","","..","","..","","..",""
"161","Mauritania","27.3","","43.6","","..","","55.4","","..","","..","","35.9","","..","","..","","..","","28.8","","..",""
"66","Mauritius","2.7","","..","","2.6","","2.3","","2.6","","2.7","","4.2","","1.8","","4.0","","3.5","","5.0","","..",""
"76","Mexico","28.4","","16.1","","12.8","","7.9","","5.0","","4.2","","5.4","","4.3","","4.3","","7.8","","1.3","","..",""
"107","Moldova (Republic of)","..","","..","","10.5","","3.0","","4.6","","4.2","","5.4","","4.9","","5.2","","5.2","","5.0","","..",""
"92","Mongolia","..","","8.1","","11.1","","..","","..","","..","","..","","..","","..","","2.1","","2.7","","..",""
"52","Montenegro","..","","..","","..","","..","","..","","19.5","","..","","..","","..","","6.8","","2.0","","..",""
"121","Morocco","26.5","","28.1","","26.7","","26.3","","10.6","","11.8","","8.4","","10.7","","11.2","","7.4","","4.9","","..",""
"180","Mozambique","67.1","","..","","67.0","","60.9","","73.0","","69.4","","68.4","","69.3","","66.8","","..","","..","","..",""
"145","Myanmar","..","","..","","44.8","","28.5","","..","","..","","..","","..","","..","","..","","24.6","","..",""
"130","Namibia","..","","33.4","","18.4","","23.1","","..","","..","","9.4","","..","","..","","..","","..","","..",""
"147","Nepal","..","","..","","..","","..","","..","","..","","44.7","","39.6","","29.9","","23.1","","26.5","","..",""
"126","Nicaragua","56.1","","..","","48.2","","49.8","","..","","..","","..","","..","","..","","..","","..","","..",""
"189","Niger","19.9","","50.0","","30.9","","..","","30.7","","..","","39.7","","35.6","","..","","..","","..","","..",""
"158","Nigeria","..","","..","","..","","22.3","","..","","..","","..","","..","","..","","..","","..","","..",""
