"Primary school teachers trained to teach (%)"
"HDI Rank (2018)","Country","2000","","2005","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"82","Algeria","95","","99","","..","","..","","..","","..","","..","","100","","100","","..","","..","","..",""
"36","Andorra","..","","..","","100","","100","","100","","100","","100","","100","","100","","100","","100","","..",""
"149","Angola","..","","..","","..","","..","","47","","..","","..","","..","","..","","..","","..","","..",""
"74","Antigua and Barbuda","47","","..","","57","","55","","65","","60","","..","","70","","65","","..","","55","","..",""
"81","Armenia","..","","77","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"87","Azerbaijan","100","","100","","100","","100","","100","","100","","100","","99","","99","","..","","98","","..",""
"60","Bahamas","..","","..","","84","","92","","..","","..","","..","","..","","..","","90","","..","","..",""
"45","Bahrain","..","","..","","..","","..","","80","","82","","82","","83","","82","","84","","84","","..",""
"135","Bangladesh","..","","53","","58","","..","","58","","..","","..","","..","","48","","50","","50","","..",""
"56","Barbados","..","","73","","58","","58","","55","","..","","..","","69","","66","","69","","80","","..",""
"50","Belarus","..","","100","","100","","100","","100","","100","","100","","99","","99","","99","","100","","..",""
"103","Belize","54","","..","","43","","45","","48","","54","","49","","61","","68","","73","","..","","..",""
"163","Benin","65","","..","","40","","43","","47","","..","","..","","68","","69","","70","","68","","..",""
"134","Bhutan","95","","94","","..","","..","","..","","..","","..","","..","","100","","100","","100","","..",""
"114","Bolivia (Plurinational State of)","..","","..","","..","","..","","56","","56","","57","","57","","58","","58","","58","","..",""
"94","Botswana","89","","93","","100","","..","","..","","100","","99","","..","","..","","..","","..","","..",""
"43","Brunei Darussalam","..","","84","","84","","87","","88","","88","","85","","87","","82","","85","","85","","..",""
"182","Burkina Faso","..","","88","","86","","..","","..","","95","","86","","84","","85","","73","","86","","..",""
"185","Burundi","..","","88","","91","","..","","94","","95","","..","","92","","100","","100","","100","","..",""
"126","Cabo Verde","..","","78","","86","","90","","92","","95","","..","","96","","..","","93","","93","","..",""
"146","Cambodia","..","","98","","99","","99","","99","","100","","100","","100","","100","","100","","100","","..",""
"150","Cameroon","..","","63","","..","","57","","67","","79","","..","","..","","58","","59","","81","","..",""
"187","Chad","..","","..","","68","","70","","68","","66","","65","","..","","..","","..","","..","","..",""
"79","Colombia","..","","..","","100","","100","","100","","100","","97","","98","","94","","95","","95","","..",""
"156","Comoros","..","","..","","..","","..","","55","","..","","..","","..","","..","","..","","..","","..",""
"138","Congo","65","","..","","..","","87","","79","","80","","..","","..","","..","","..","","..","","..",""
"179","Congo (Democratic Republic of the)","..","","..","","93","","92","","90","","94","","..","","95","","..","","..","","..","","..",""
"68","Costa Rica","..","","97","","88","","89","","91","","..","","94","","94","","94","","94","","..","","..",""
