"Survival rate to the last grade of lower secondary general education (%)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"170","Afghanistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","69","","83","","..",""
"69","Albania","..","","96","","92","","..","","96","","97","","99","","98","","96","","..","","94","","..",""
"82","Algeria","81","","79","","80","","78","","72","","75","","72","","74","","72","","75","","..","","..",""
"36","Andorra","..","","..","","..","","..","","80","","82","","86","","88","","90","","93","","90","","..",""
"74","Antigua and Barbuda","..","","..","","..","","..","","..","","..","","..","","..","","84","","..","","..","","..",""
"48","Argentina","..","","..","","88","","83","","81","","84","","83","","84","","85","","87","","..","","..",""
"81","Armenia","..","","..","","..","","98","","..","","..","","..","","..","","..","","..","","95","","..",""
"20","Austria","..","","..","","..","","99","","99","","100","","100","","100","","100","","100","","100","","..",""
"87","Azerbaijan","..","","..","","93","","97","","95","","96","","97","","96","","97","","96","","94","","..",""
"60","Bahamas","..","","..","","..","","91","","..","","..","","..","","..","","..","","..","","..","","..",""
"45","Bahrain","..","","..","","90","","93","","98","","98","","99","","99","","99","","99","","97","","..",""
"135","Bangladesh","..","","..","","81","","75","","84","","..","","..","","..","","..","","87","","85","","..",""
"56","Barbados","..","","..","","96","","98","","..","","..","","..","","..","","..","","..","","..","","..",""
"50","Belarus","98","","92","","99","","99","","97","","99","","100","","99","","99","","99","","99","","..",""
"17","Belgium","..","","..","","..","","96","","98","","96","","100","","94","","96","","97","","..","","..",""
"103","Belize","..","","..","","66","","63","","65","","67","","67","","64","","66","","69","","69","","..",""
"163","Benin","..","","..","","77","","63","","..","","..","","..","","68","","76","","71","","..","","..",""
"134","Bhutan","..","","..","","78","","84","","91","","90","","80","","83","","..","","..","","85","","..",""
"114","Bolivia (Plurinational State of)","95","","95","","94","","92","","93","","94","","96","","96","","96","","96","","95","","..",""
"75","Bosnia and Herzegovina","..","","..","","..","","..","","98","","99","","98","","98","","97","","96","","96","","..",""
"94","Botswana","..","","..","","95","","93","","..","","..","","93","","99","","..","","..","","..","","..",""
"79","Brazil","..","","..","","..","","..","","74","","..","","..","","..","","..","","..","","..","","..",""
"43","Brunei Darussalam","..","","..","","..","","95","","99","","99","","99","","99","","98","","100","","98","","..",""
"52","Bulgaria","86","","91","","..","","65","","46","","44","","44","","46","","44","","46","","..","","..",""
"182","Burkina Faso","67","","..","","56","","64","","69","","68","","70","","71","","72","","72","","76","","..",""
"185","Burundi","..","","..","","..","","75","","85","","73","","77","","79","","78","","72","","..","","..",""
"126","Cabo Verde","..","","..","","..","","75","","84","","81","","80","","77","","78","","80","","78","","..",""
