Country,Homicide.rate.1990,,Homicide.rate.1995,,Homicide.rate.2000,,Homicide.rate.2005,,Homicide.rate.2010,,Homicide.rate.2011,,Homicide.rate.2012,,Homicide.rate.2013,,Homicide.rate.2014,,Homicide.rate.2015,,Homicide.rate.2016,,Homicide.rate.2017
Afghanistan,..,,..,,..,,..,,3.4,,4.1,,6.3,,..,,..,,10,,6.6,,7.1
Albania,..,,8.3,,4.2,,5,,4.3,,4.9,,5.4,,4.2,,4,,2.8,,3.4,,2.3
Algeria,..,,..,,..,,0.6,,0.7,,0.8,,1.4,,1.3,,1.5,,1.4,,..,,..
Andorra,..,,..,,..,,..,,0,,1.2,,0,,0,,0,,0,,..,,..
Angola,..,,..,,..,,..,,..,,4.4,,4.8,,..,,..,,..,,..,,..
Antigua and Barbuda,1.5,,9.5,,6,,3.4,,6.3,,..,,10.3,,..,,..,,..,,..,,..
Argentina,..,,..,,..,,..,,..,,..,,..,,..,,7.5,,6.5,,6,,5.1
Armenia,5,,3.6,,3,,1.9,,1.9,,2.5,,2.3,,2.2,,2.5,,2.6,,3,,2.4
Australia,2.2,,2,,1.9,,1.3,,1,,1.1,,1.1,,1.1,,1,,1,,0.9,,0.8
Austria,1.2,,1,,1,,0.7,,0.7,,0.9,,0.9,,0.7,,0.5,,0.5,,0.7,,..
Azerbaijan,4.5,,5.7,,2.8,,2.2,,2.3,,..,,2.2,,2.4,,2.5,,2.3,,2.1,,2
Bahamas,17.6,,14.3,,24.8,,15.8,,26.1,,34.6,,29.8,,31.5,,32.4,,37.7,,28.4,,30.9
Bahrain,..,,0.9,,..,,0.4,,0.9,,0.5,,0.3,,0.4,,0.5,,..,,..,,..
Bangladesh,..,,..,,2.5,,2.5,,2.6,,2.6,,2.6,,2.8,,2.8,,2.5,,2.2,,2.2
Barbados,13.1,,6.4,,7.4,,10.6,,11.1,,9.6,,7.8,,8.5,,8.8,,10.9,,7.7,,10.5
Belarus,5,,9.5,,10.2,,8.6,,4.2,,3.9,,3.6,,3.5,,3.6,,..,,..,,..
Belgium,1,,1.4,,2.1,,2.1,,1.7,,1.9,,1.8,,1.8,,1.9,,2,,1.5,,1.7
Belize,..,,..,,16.6,,28.6,,40.1,,37.7,,43.1,,28.8,,35,,33.1,,37.6,,37.9
Benin,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.1
Bhutan,3.7,,3.1,,3.1,,1.7,,2.2,,4.3,,4.4,,3.1,,..,,1.5,,1.1,,1.6
Bolivia (Plurinational State of),..,,..,,..,,5.2,,12.8,,12.3,,11.9,,9,,8.9,,6.3,,6.3,,..
Bosnia and Herzegovina,1.6,,..,,2.6,,1.9,,1.5,,1.4,,1.7,,1.3,,1.4,,1.6,,1.3,,1.2
Botswana,..,,..,,..,,15.7,,15,,..,,..,,..,,..,,..,,..,,..
Brazil,19.6,,20.9,,23.7,,23.3,,22,,24.2,,26.5,,26.8,,28.6,,28.4,,29.7,,30.5
Brunei Darussalam,..,,..,,1.2,,0.5,,0.3,,0.3,,1,,0.5,,..,,..,,..,,..
Bulgaria,2.6,,5.9,,4.2,,2.6,,2,,1.7,,1.9,,1.5,,1.6,,1.8,,1.1,,1.5
Burkina Faso,..,,..,,..,,0.5,,0.8,,0.6,,0.7,,0.7,,0.7,,0.6,,1.1,,1.3
Burundi,..,,..,,..,,..,,4,,3.9,,5.4,,5.4,,5.7,,4.5,,6,,..
Cabo Verde,..,,..,,..,,9.3,,7.8,,10.4,,10.9,,10.4,,12.3,,8.6,,11.5,,..
Cambodia,..,,3.7,,4.7,,3.4,,2.3,,1.8,,..,,..,,..,,..,,..,,..
Cameroon,..,,..,,3,,..,,5,,4.1,,4.2,,..,,1,,1.2,,1.2,,1.4
Canada,2.4,,2,,1.8,,2.1,,1.6,,1.8,,1.6,,1.4,,1.5,,1.7,,1.7,,1.8
Central African Republic,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,19.8,,..
Chile,..,,..,,..,,3.6,,3.2,,3.7,,2.5,,3.2,,..,,3.4,,3.4,,4.3
China,..,,2.2,,2.1,,1.6,,1,,0.9,,0.8,,0.8,,0.7,,0.7,,0.6,,0.6
Colombia,71,,59.6,,65.7,,41.8,,33.7,,34.8,,35.1,,32.6,,27.9,,26.5,,25.5,,24.9
Costa Rica,4.5,,5.2,,6.3,,7.9,,11.6,,10.3,,8.7,,8.7,,10,,11.6,,11.9,,12.3
Croatia,2.9,,3.6,,2.3,,1.6,,1.4,,1.1,,1.2,,1.1,,0.8,,0.9,,1,,1.1
Cuba,..,,7.8,,5.3,,6.1,,4.5,,4.7,,5.5,,5.9,,5.2,,5.4,,5,,..
Cyprus,0.7,,1.1,,0.8,,1.9,,0.7,,0.8,,1.9,,1,,1,,1.3,,1.1,,0.6
Czechia,..,,1.7,,1.9,,1.1,,1,,0.8,,1,,0.8,,0.8,,0.8,,0.6,,0.6
Denmark,0.8,,1.1,,1.1,,1,,0.8,,0.8,,0.8,,0.9,,1.3,,1.1,,1,,1.2
Dominica,..,,..,,2.9,,11.3,,21,,8.4,,..,,..,,12.4,,12.3,,21.8,,25.7
Dominican Republic,..,,12.8,,14.1,,25.9,,25,,25.1,,22.3,,19.2,,17.4,,..,,15.2,,11.3
Ecuador,8.7,,12,,14.5,,15.4,,17.6,,15.4,,12.5,,11,,8.2,,6.5,,5.9,,5.8
Egypt,0.5,,..,,..,,0.7,,2.2,,3.1,,2.5,,..,,..,,..,,..,,..
El Salvador,..,,142.2,,60.5,,64.4,,64.7,,70.6,,41.7,,40.2,,62.4,,105.4,,83.1,,61.8
Estonia,7.5,,17.2,,10.2,,8.3,,5.3,,4.9,,4.8,,3.9,,3.1,,3.4,,2.5,,2.2
Eswatini (Kingdom of),18.9,,..,,12.1,,12.6,,17.3,,14,,8.3,,8,,9.1,,8.5,,8.6,,9.5
Fiji,4.4,,3.1,,..,,2.8,,2.3,,2.3,,2.3,,2.2,,2.3,,..,,..,,..
Finland,3,,2.9,,2.9,,2.3,,2.2,,2,,1.6,,1.6,,1.6,,1.5,,1.3,,1.2
France,2.4,,2.3,,1.8,,1.6,,1.3,,1.4,,1.2,,1.2,,1.2,,1.6,,1.4,,1.3
Georgia,5,,7.8,,5.1,,9,,4.4,,..,,..,,..,,2.7,,..,,1,,..
Germany,1.5,,1.7,,1.2,,1.1,,1,,0.9,,0.8,,0.8,,0.9,,0.8,,1.2,,1
Ghana,..,,..,,..,,1.8,,1.7,,1.7,,2.2,,2.1,,2,,1.9,,1.9,,2.1
Greece,1,,1.4,,..,,1.2,,1.5,,1.6,,1.5,,1.4,,0.9,,0.8,,0.8,,0.7
Grenada,..,,..,,14.8,,10.7,,9.6,,3.8,,13.3,,5.7,,7.5,,5.6,,10.2,,11.1
Guatemala,..,,31.3,,24.9,,40.8,,40.7,,38,,33.8,,33.7,,31.4,,29.4,,27.3,,26.1
Guinea-Bissau,..,,..,,..,,..,,..,,..,,..,,4.8,,3.8,,2.7,,3.5,,1.1
Guyana,12.1,,14.3,,10.1,,18.9,,18.8,,17.4,,18.5,,20.4,,19.5,,19.4,,18.4,,14.8
Haiti,..,,..,,..,,..,,6.8,,9,,10,,10,,9.3,,10,,9.5,,..
Honduras,10,,26.9,,48.7,,43.6,,76.1,,85.1,,84.3,,74.3,,66.9,,57.5,,56.5,,41.7
"Hong Kong, China (SAR)",2.4,,1.2,,0.6,,0.5,,0.5,,0.2,,0.4,,0.9,,0.4,,0.3,,0.4,,0.3
Hungary,1.9,,2.9,,2,,1.6,,1.4,,1.5,,1.3,,1.6,,1.5,,2.3,,2.1,,2.5
Iceland,..,,0,,1.8,,1,,0.6,,0.9,,0.3,,0.3,,0.6,,0.9,,0.3,,0.9
India,5.1,,4.8,,4.6,,3.9,,3.8,,3.8,,3.8,,3.6,,3.7,,3.4,,3.2,,..
Indonesia,..,,..,,1,,..,,0.4,,0.6,,0.6,,0.5,,0.5,,0.6,,0.5,,0.4
Iran (Islamic Republic of),..,,..,,..,,..,,..,,..,,..,,2.6,,2.5,,..,,..,,..
Iraq,6.7,,..,,..,,..,,8.7,,8.3,,8.2,,9.9,,..,,..,,..,,..
Ireland,0.5,,1.2,,1,,1.2,,1.2,,0.9,,1.1,,1.1,,1.1,,0.7,,0.8,,0.9
Israel,3.3,,2.1,,2.4,,2.5,,2,,2,,1.7,,..,,1.5,,1.4,,..,,..
Italy,3.1,,1.8,,1.3,,1,,0.9,,0.9,,0.9,,0.8,,0.8,,0.8,,0.7,,..
Jamaica,22.4,,30.7,,33.4,,61,,51.4,,40,,38.7,,42.1,,35.1,,42.1,,47,,57
Japan,0.5,,0.6,,0.5,,0.5,,0.4,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.2
Jordan,3.4,,0.8,,..,,1.2,,1.6,,1.9,,2,,1.7,,1.9,,1.6,,1.4,,1.4
Kazakhstan,8.9,,15.3,,15.4,,..,,8.5,,8.5,,7.5,,6.5,,5.2,,4.8,,..,,5
Kenya,..,,..,,..,,3,,4.7,,5.3,,5.4,,5.5,,5,,4.8,,4.9,,5
Kiribati,..,,0,,3.6,,..,,3.9,,10.5,,7.5,,..,,..,,..,,..,,..
Korea (Republic of),0.5,,0.5,,0.8,,0.8,,1,,0.8,,0.9,,0.7,,0.7,,0.7,,0.7,,0.6
Kuwait,..,,..,,..,,1.8,,2,,1.8,,1.8,,..,,..,,..,,..,,..
Kyrgyzstan,13.8,,11.7,,8.7,,9.7,,16.8,,8.5,,6.8,,5.3,,5.5,,5.2,,4.5,,4.2
Latvia,..,,11.5,,10,,5.6,,3.3,,3.3,,3.4,,2.5,,3.2,,3.4,,3.5,,4.2
Lebanon,..,,..,,..,,..,,3.8,,3.7,,3.9,,4.5,,4.3,,3.9,,4,,..
Lesotho,32.4,,..,,..,,..,,37.4,,34.5,,30.7,,31.1,,..,,41.2,,..,,..
Liberia,..,,..,,..,,..,,3.3,,4,,3.2,,..,,..,,..,,..,,..
Liechtenstein,..,,0,,0,,0,,2.8,,0,,0,,0,,2.7,,0,,0,,..
Lithuania,4.9,,13.8,,10.6,,11.1,,7,,6.9,,6.7,,6.6,,5.4,,5.9,,5.2,,4.5
Luxembourg,..,,0.5,,0.9,,0.9,,2,,0.8,,0,,0.2,,0.7,,0.9,,0.9,,0.3
Malawi,..,,..,,6.2,,1.5,,3.4,,2.2,,1.7,,..,,..,,..,,..,,..
Malaysia,1.7,,1.9,,2.4,,2.4,,1.9,,1.9,,2.1,,2.1,,..,,..,,..,,..
Maldives,0.4,,0.8,,..,,..,,1.6,,0.8,,2.6,,0.8,,..,,..,,..,,..
Malta,1.1,,..,,1,,1,,1,,0.7,,2.9,,1.7,,1.4,,0.9,,..,,..
Mauritius,1.9,,2.2,,2.2,,3,,2.6,,2.7,,2.3,,2.8,,1.5,,1.7,,1.8,,..
Mexico,17,,16.6,,10.6,,9.1,,22,,22.9,,21.5,,18.8,,16.1,,16.5,,19.3,,24.8
Moldova (Republic of),6.6,,9.3,,10.3,,7.1,,6.5,,7.5,,5.6,,4.2,,3.2,,..,,..,,..
Monaco,..,,..,,..,,3,,0,,0,,0,,0,,..,,0,,..,,..
Mongolia,..,,..,,..,,15.8,,8.8,,9.6,,7.1,,7.1,,7.3,,6.2,,5.7,,6.2
Montenegro,..,,..,,..,,3.6,,2.4,,3.4,,2.7,,1.6,,3.2,,2.7,,4.5,,2.4
Morocco,0.4,,..,,1.6,,1.5,,1.4,,1.3,,1.1,,1.3,,1,,1.2,,1.7,,2.1
Mozambique,..,,..,,..,,5.2,,3.6,,3.4,,..,,..,,..,,..,,..,,..
Myanmar,5,,3.7,,2.3,,1.4,,1.6,,2.1,,2.8,,2.4,,2.4,,2.2,,2.3,,..
Namibia,..,,22.5,,20,,..,,14.4,,13.9,,17.1,,..,,..,,..,,..,,..
Nepal,1.9,,..,,2.7,,3.4,,3,,2.5,,2.3,,2.2,,2,,..,,2.2,,..
Netherlands,0.9,,1.2,,1.1,,1.1,,0.9,,0.9,,0.9,,0.7,,0.7,,0.6,,0.6,,0.8
New Zealand,1.9,,1.1,,1.3,,1.5,,1,,0.9,,0.9,,1,,0.9,,1,,1.1,,0.7
Nicaragua,16.2,,15.3,,9.5,,13.6,,13.7,,12.7,,11.5,,10,,8.7,,8.6,,7.4,,..
Niger,..,,..,,..,,..,,..,,4.9,,4.4,,..,,..,,..,,..,,..
North Macedonia,..,,..,,2.3,,2.1,,2.1,,1.4,,1.4,,1.1,,1.7,,1.2,,0.9,,1.5
Norway,1.1,,1,,1.1,,0.7,,0.6,,2.2,,0.5,,0.9,,0.6,,0.5,,0.5,,0.5
Oman,..,,..,,..,,..,,..,,..,,..,,..,,0.3,,0.4,,0.4,,0.5
Pakistan,7.6,,..,,6.4,,6.4,,7.7,,8,,7.8,,7.7,,7.2,,5,,4.4,,4.2
"Palestine, State of",..,,1.2,,..,,2.4,,0.8,,0.6,,0.6,,0.5,,0.8,,1,,0.7,,..
Panama,11.3,,13.8,,9.9,,10.9,,12.6,,14.8,,16.9,,17.3,,15.5,,11.9,,10,,9.7
Papua New Guinea,..,,..,,8.3,,9.5,,10,,..,,..,,..,,..,,..,,..,,..
Paraguay,..,,..,,18.8,,15.3,,11.9,,10.4,,10.2,,9.3,,8.8,,9.3,,8.9,,..
