"","Country","1990","1995","2000","2005","2010","2011","2012","2013","2014","2015","2016","2017"
"1","Afghanistan",NA,NA,NA,NA,3.4,4.1,6.3,NA,NA,10,6.6,7.1
"2","Albania",NA,8.3,4.2,5,4.3,4.9,5.4,4.2,4,2.8,3.4,2.3
"3","Algeria",NA,NA,NA,0.6,0.7,0.8,1.4,1.3,1.5,1.4,NA,NA
"4","Andorra",NA,NA,NA,NA,0,1.2,0,0,0,0,NA,NA
"5","Angola",NA,NA,NA,NA,NA,4.4,4.8,NA,NA,NA,NA,NA
"6","Antigua and Barbuda",1.5,9.5,6,3.4,6.3,NA,10.3,NA,NA,NA,NA,NA
"7","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,7.5,6.5,6,5.1
"8","Armenia",5,3.6,3,1.9,1.9,2.5,2.3,2.2,2.5,2.6,3,2.4
"9","Australia",2.2,2,1.9,1.3,1,1.1,1.1,1.1,1,1,0.9,0.8
"10","Austria",1.2,1,1,0.7,0.7,0.9,0.9,0.7,0.5,0.5,0.7,NA
"11","Azerbaijan",4.5,5.7,2.8,2.2,2.3,NA,2.2,2.4,2.5,2.3,2.1,2
"12","Bahamas",17.6,14.3,24.8,15.8,26.1,34.6,29.8,31.5,32.4,37.7,28.4,30.9
"13","Bahrain",NA,0.9,NA,0.4,0.9,0.5,0.3,0.4,0.5,NA,NA,NA
"14","Bangladesh",NA,NA,2.5,2.5,2.6,2.6,2.6,2.8,2.8,2.5,2.2,2.2
"15","Barbados",13.1,6.4,7.4,10.6,11.1,9.6,7.8,8.5,8.8,10.9,7.7,10.5
"16","Belarus",5,9.5,10.2,8.6,4.2,3.9,3.6,3.5,3.6,NA,NA,NA
"17","Belgium",1,1.4,2.1,2.1,1.7,1.9,1.8,1.8,1.9,2,1.5,1.7
"18","Belize",NA,NA,16.6,28.6,40.1,37.7,43.1,28.8,35,33.1,37.6,37.9
"19","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1
"20","Bhutan",3.7,3.1,3.1,1.7,2.2,4.3,4.4,3.1,NA,1.5,1.1,1.6
"21","Bolivia (Plurinational State of)",NA,NA,NA,5.2,12.8,12.3,11.9,9,8.9,6.3,6.3,NA
"22","Bosnia and Herzegovina",1.6,NA,2.6,1.9,1.5,1.4,1.7,1.3,1.4,1.6,1.3,1.2
"23","Botswana",NA,NA,NA,15.7,15,NA,NA,NA,NA,NA,NA,NA
"24","Brazil",19.6,20.9,23.7,23.3,22,24.2,26.5,26.8,28.6,28.4,29.7,30.5
"25","Brunei Darussalam",NA,NA,1.2,0.5,0.3,0.3,1,0.5,NA,NA,NA,NA
"26","Bulgaria",2.6,5.9,4.2,2.6,2,1.7,1.9,1.5,1.6,1.8,1.1,1.5
"27","Burkina Faso",NA,NA,NA,0.5,0.8,0.6,0.7,0.7,0.7,0.6,1.1,1.3
"28","Burundi",NA,NA,NA,NA,4,3.9,5.4,5.4,5.7,4.5,6,NA
"29","Cabo Verde",NA,NA,NA,9.3,7.8,10.4,10.9,10.4,12.3,8.6,11.5,NA
"30","Cambodia",NA,3.7,4.7,3.4,2.3,1.8,NA,NA,NA,NA,NA,NA
"31","Cameroon",NA,NA,3,NA,5,4.1,4.2,NA,1,1.2,1.2,1.4
"32","Canada",2.4,2,1.8,2.1,1.6,1.8,1.6,1.4,1.5,1.7,1.7,1.8
"33","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8,NA
"34","Chile",NA,NA,NA,3.6,3.2,3.7,2.5,3.2,NA,3.4,3.4,4.3
"35","China",NA,2.2,2.1,1.6,1,0.9,0.8,0.8,0.7,0.7,0.6,0.6
"36","Colombia",71,59.6,65.7,41.8,33.7,34.8,35.1,32.6,27.9,26.5,25.5,24.9
"37","Costa Rica",4.5,5.2,6.3,7.9,11.6,10.3,8.7,8.7,10,11.6,11.9,12.3
"38","Croatia",2.9,3.6,2.3,1.6,1.4,1.1,1.2,1.1,0.8,0.9,1,1.1
"39","Cuba",NA,7.8,5.3,6.1,4.5,4.7,5.5,5.9,5.2,5.4,5,NA
"40","Cyprus",0.7,1.1,0.8,1.9,0.7,0.8,1.9,1,1,1.3,1.1,0.6
"41","Czechia",NA,1.7,1.9,1.1,1,0.8,1,0.8,0.8,0.8,0.6,0.6
"42","Denmark",0.8,1.1,1.1,1,0.8,0.8,0.8,0.9,1.3,1.1,1,1.2
"43","Dominica",NA,NA,2.9,11.3,21,8.4,NA,NA,12.4,12.3,21.8,25.7
"44","Dominican Republic",NA,12.8,14.1,25.9,25,25.1,22.3,19.2,17.4,NA,15.2,11.3
"45","Ecuador",8.7,12,14.5,15.4,17.6,15.4,12.5,11,8.2,6.5,5.9,5.8
"46","Egypt",0.5,NA,NA,0.7,2.2,3.1,2.5,NA,NA,NA,NA,NA
"47","El Salvador",NA,142.2,60.5,64.4,64.7,70.6,41.7,40.2,62.4,105.4,83.1,61.8
"48","Estonia",7.5,17.2,10.2,8.3,5.3,4.9,4.8,3.9,3.1,3.4,2.5,2.2
"49","Eswatini (Kingdom of)",18.9,NA,12.1,12.6,17.3,14,8.3,8,9.1,8.5,8.6,9.5
"50","Fiji",4.4,3.1,NA,2.8,2.3,2.3,2.3,2.2,2.3,NA,NA,NA
"51","Finland",3,2.9,2.9,2.3,2.2,2,1.6,1.6,1.6,1.5,1.3,1.2
"52","France",2.4,2.3,1.8,1.6,1.3,1.4,1.2,1.2,1.2,1.6,1.4,1.3
