"","Country","2000","2010","2015","2016"
"1","Afghanistan",1.7,2.1,2.1,2.1
"2","Albania",3.6,6,4,4.3
"3","Algeria",2.8,1.9,1.8,1.8
"4","Angola",7.2,5.1,4.7,4.6
"5","Antigua and Barbuda",0.1,0,1.6,0.9
"6","Argentina",3.6,3.2,3.4,3.5
"7","Armenia",1.2,1.9,2.2,2
"8","Australia",5.4,5.3,6.2,6
"9","Austria",7.9,5.4,5.3,5.7
"10","Azerbaijan",1,1.2,1,1
"11","Bahamas",0.7,0.6,0.5,0.5
"12","Bahrain",3.5,2.6,2.2,2.1
"13","Bangladesh",7.9,8.4,7.2,6.7
"14","Barbados",0.5,0.6,0.3,0.3
"15","Belarus",11,9.6,6.1,6.2
"16","Belgium",10.6,9.8,8.9,9.4
"17","Belize",2.4,2.3,2.1,2
"18","Benin",9.9,9.8,9.6,9.6
"19","Bhutan",12.6,9.5,9.2,8.9
"20","Bolivia (Plurinational State of)",13.8,11,9.2,8.9
"21","Bosnia and Herzegovina",3.8,2.4,2.6,2.5
"22","Botswana",5.9,6.8,5.9,5.7
"23","Brazil",2.2,2.8,2.9,2.8
"24","Brunei Darussalam",2.2,2.3,2.8,2.8
"25","Bulgaria",7.2,3.7,3.2,3.2
"26","Burkina Faso",8.5,8.4,9,9.1
"27","Burundi",8.5,8.3,7.7,7.7
"28","Cabo Verde",8.9,8.8,7.7,7.7
"29","Cambodia",4.5,3.6,3.2,3.2
"30","Cameroon",14.6,11.9,12.4,12.5
"31","Canada",5.4,5.9,5.8,5.8
"32","Central African Republic",7,7.3,6.4,6
"33","Chad",14.5,15.9,14.2,13.8
"34","Chile",3.1,4.5,4.1,3.8
"35","China",15.6,11,8.5,8.3
"36","Colombia",3.4,2.6,3.3,2.8
"37","Comoros",4.6,5.3,5.4,5.4
"38","Congo",8.7,6.5,5.3,5
"39","Congo (Democratic Republic of the)",6.1,4.8,4.8,4.9
"40","Costa Rica",1.8,2.4,2.3,2.3
"41","Croatia",7.1,6,5.9,5.1
"42","Cuba",9.1,4.8,4,4.1
"43","Cyprus",1.5,2.3,2.2,1.9
"44","Czechia",5.3,4,4,4.2
"45","Côte d'Ivoire",9.1,11.4,12.9,13
"46","Denmark",6.5,5.5,5.4,5.2
"47","Djibouti",6.1,4.7,5.1,5.3
"48","Dominican Republic",3.8,3.2,3.2,3.2
"49","Ecuador",3.7,4.7,4.9,3.8
"50","Egypt",1.5,1.6,1.7,1.7
"51","El Salvador",6.6,4.1,4.4,4.3
"52","Equatorial Guinea",8.4,9.7,10.7,10.8
"53","Eritrea",10.4,7,6.3,6.1
"54","Estonia",9.7,4.5,3.8,4.4
"55","Eswatini (Kingdom of)",8.9,8.1,9.4,9.6
"56","Ethiopia",6.6,5.4,4.8,4.7
"57","Fiji",3.1,2.5,2.5,2.5
"58","Finland",10.7,8,5.7,6.8
"59","France",9.3,8.1,6.7,6.5
"60","Gabon",4.5,4.1,4.4,4.3
"61","Gambia",10.1,7.3,7.4,7.3
"62","Georgia",1.8,1.6,1.9,1.9
"63","Germany",5.4,4.6,4.9,4.8
"64","Ghana",2.9,2.9,2.9,2.9
"65","Greece",1.2,0.6,1.5,1.5
"66","Grenada",1.5,0,0.6,1
"67","Guatemala",1.6,1.4,1.9,1.7
"68","Guinea",9.1,8.7,8.7,8.4
"69","Guinea-Bissau",7.9,6.4,6,6.1
"70","Guyana",12.8,14.1,14.3,14.2
"71","Haiti",4.8,5.7,6.4,6.4
"72","Honduras",1.7,1.6,1.6,1.7
"73","Hungary",10.6,7.8,6.6,6.2
"74","Iceland",6.4,5.6,4.8,4.7
"75","India",16.1,15.1,14.7,14.5
"76","Indonesia",2.7,2.4,2.2,2.2
"77","Iran (Islamic Republic of)",8.8,3.9,3,3.1
"78","Iraq",2.7,2.9,3.4,3.4
"79","Ireland",4.4,5,4.2,4.2
"80","Israel",3,2.5,2.1,2.4
"81","Italy",2.8,2.3,2.5,2.6
"82","Jamaica",0.8,0.9,0.9,0.9
"83","Japan",9.9,10.4,8.6,8.1
"84","Jordan",3.7,2.7,2.7,2.7
"85","Kazakhstan",10.4,10.7,8.5,7.7
"86","Kenya",3.6,2.3,2.1,2.1
"87","Kiribati",6.5,5.8,5.5,5.4
"88","Korea (Democratic People's Rep. of)",7.7,9,8.2,8
"89","Korea (Republic of)",8.5,18.7,12.5,11.6
"90","Kuwait",1.4,1.1,1.7,1.7
"91","Kyrgyzstan",5.4,4.4,3.5,3.7
"92","Lao People's Democratic Republic",8.2,6.6,6.1,6.1
"93","Latvia",9.5,4.2,5.3,5.1
"94","Lebanon",2.1,2.4,2.3,2.2
"95","Lesotho",30.2,31,32.1,32.6
"96","Liberia",9.5,12.7,12.6,13
"97","Libya",3,2.4,2.1,2.3
"98","Lithuania",15.6,9.5,8.9,6.7
"99","Luxembourg",8.2,5.2,5.7,5.8
"100","Madagascar",5,4.2,3.7,3.6
"101","Malawi",4.7,3.2,3.2,3.2
"102","Malaysia",4.4,3.6,3.6,3.6
"103","Maldives",5.1,2.4,1.8,1.6
"104","Mali",5,4.6,4.8,4.7
"105","Malta",2.4,1.6,3.2,2.8
"106","Mauritania",3,3.2,3.5,3.6
"107","Mauritius",4.5,3.5,4.3,2.2
"108","Mexico",1.2,1.9,2.4,2.3
"109","Micronesia (Federated States of)",8.3,6.8,6.4,6.2
"110","Moldova (Republic of)",4.1,5.1,4.5,3.8
"111","Mongolia",8.2,4.8,3.9,3.8
"112","Montenegro",5.6,4.1,3.5,3.6
"113","Morocco",9.5,5,3.7,3.6
"114","Mozambique",7.3,4.9,4.2,4.1
"115","Myanmar",10.7,9.4,9.6,9.8
"116","Namibia",5.9,5.7,5.1,4.9
"117","Nepal",15.5,11,8.5,8
"118","Netherlands",5.3,4.8,6.4,6.4
"119","New Zealand",4.5,6.9,6.2,6.2
"120","Nicaragua",8,5.5,5.1,5
"121","Niger",7,7.2,6.7,6.7
"122","Nigeria",20.6,20.1,17.6,17.1
"123","North Macedonia",4.1,2.6,3,3
"124","Norway",6,6.5,7,6.5
"125","Oman",1.6,1,1,0.9
"126","Pakistan",4.4,3.5,3.2,3.1
"127","Panama",1.6,1.5,1.4,1.2
"128","Papua New Guinea",5,3.7,3.8,3.8
"129","Paraguay",6.4,6,6.3,6.2
"130","Peru",3.3,2.5,2.7,2.7
"131","Philippines",1.8,2.3,2.3,2.3
"132","Poland",4.7,3.7,3.3,3.4
"133","Portugal",2.1,4.2,3.8,3.8
"134","Qatar",1.4,1.1,1.1,1.1
"135","Romania",3.8,3.7,2.5,2.4
"136","Russian Federation",13.7,10.2,7.9,7.5
"137","Rwanda",19.4,7.2,6.2,6
"138","Saint Lucia",2.4,1.6,2.1,2.1
"139","Saint Vincent and the Grenadines",0.9,0.6,1.1,0.9
"140","Samoa",4.6,2.6,2.2,2.2
"141","Sao Tome and Principe",1.7,1.9,2.1,2.1
"142","Saudi Arabia",1.4,1.7,1.7,1.7
"143","Senegal",6.8,6.2,5.4,5.2
"144","Serbia",9.1,5.2,5.2,5.2
"145","Seychelles",2.5,2.2,2.1,2.1
"146","Sierra Leone",16.6,14.3,13.9,14.2
"147","Singapore",8.1,6,5.2,4.9
"148","Slovakia",4.4,3.1,2.6,2.6
"149","Slovenia",13.2,5.1,5.8,4.5
"150","Solomon Islands",8.4,4.2,3.4,3.2
"151","Somalia",5.6,5.2,5.4,5.4
"152","South Africa",7.1,6.1,5.3,5.1
"153","South Sudan",5.3,4.5,4,4.1
"154","Spain",3,2.2,3,3.1
"155","Sri Lanka",13.5,8.4,6.1,6.2
"156","Sudan",4.4,4.6,4.5,4.6
"157","Suriname",11.6,13.3,11.4,10.9
"158","Sweden",7.7,6.8,7.7,7.4
"159","Switzerland",9.4,7,6.9,6.9
"160","Syrian Arab Republic",0.8,1.1,1.1,1.1
"161","Tajikistan",2.2,1.8,1.8,1.7
"162","Tanzania (United Republic of)",6.4,5.2,5.3,5.4
"163","Thailand",8.3,5.5,4.9,4.8
"164","Timor-Leste",8.3,4.7,3.8,3.7
"165","Togo",11.8,11.2,10.7,10.9
"166","Tonga",3.9,3.1,2.9,2.9
"167","Trinidad and Tobago",6.4,5.4,4.4,4.3
"168","Tunisia",2.3,2.3,2.2,2.2
"169","Turkey",2.9,3.8,3.3,3.2
"170","Turkmenistan",4,3.6,3.8,3.7
"171","Uganda",23.9,22,19.2,18.7
"172","Ukraine",9.5,6.4,5.1,4.7
"173","United Arab Emirates",1.5,0.9,0.8,0.8
"174","United Kingdom",3.8,3.2,3.7,3.5
"175","United States",4.1,5.2,6.3,6.4
"176","Uruguay",5.5,6.7,7,7.1
"177","Uzbekistan",4.5,3.3,4.5,4.6
"178","Vanuatu",5.1,3.2,2.7,2.7
"179","Venezuela (Bolivarian Republic of)",2.4,1.5,1.2,1.2
"180","Viet Nam",3.9,3.5,3.5,3.4
"181","Yemen",5.5,6.6,6.3,6.2
"182","Zambia",7.5,6.2,6.1,6.2
"183","Zimbabwe",9.8,11.1,11.1,11.1
"184","Andorra",NA,NA,NA,NA
"185","Dominica",NA,NA,NA,NA
"186","Hong Kong, China (SAR)",NA,NA,NA,NA
"187","Saint Kitts and Nevis",NA,NA,NA,NA
"188","Liechtenstein",NA,NA,NA,NA
"189","Marshall Islands",NA,NA,NA,NA
"190","Palau",NA,NA,NA,NA
"191","Palestine, State of",NA,NA,NA,NA
