"","Country","2000","2010","2015","2016"
"1","Afghanistan",14.3,12.5,10.9,10.6
"2","Albania",8.2,9.5,6.7,7
"3","Algeria",6.7,5.1,5,4.9
"4","Angola",21.9,16.7,14.8,14
"5","Antigua and Barbuda",4.3,0.5,0,0
"6","Argentina",16.2,14.4,14.4,15
"7","Armenia",5.7,9.7,10.7,10.1
"8","Australia",19.2,16.8,18.3,17.4
"9","Austria",25.2,19.5,18.2,17.5
"10","Azerbaijan",4.1,5.1,4.4,4.3
"11","Bahamas",3.7,3.3,2.9,2.8
"12","Bahrain",10,7.1,7.9,7.9
"13","Bangladesh",6.2,4.9,5.5,5.5
"14","Barbados",3.7,2.6,0.7,0.8
"15","Belarus",70.4,58.1,39.2,39.3
"16","Belgium",27.3,24,21.6,22.2
"17","Belize",12.5,10.6,10.1,9.9
"18","Benin",22.2,22.1,22.5,22.6
"19","Bhutan",19.8,14.4,14.1,13.8
"20","Bolivia (Plurinational State of)",23.2,19.4,17.1,16.9
"21","Bosnia and Herzegovina",16.2,10.5,11,10.6
"22","Botswana",25.9,21.8,19,18.3
"23","Brazil",8.9,9,9.7,9.7
"24","Brunei Darussalam",5.1,5.6,6.1,6.2
"25","Bulgaria",22.1,14,13.1,13.1
"26","Burkina Faso",24.9,22.6,22.5,22.4
"27","Burundi",18.5,22.4,22.7,23.1
"28","Cabo Verde",24.1,24.3,23.8,24.1
"29","Cambodia",10.6,9.4,9,9
"30","Cameroon",28.4,25.9,27.2,26.9
"31","Canada",17.8,16.3,15.3,15.1
"32","Central African Republic",19.3,20.9,18.7,18
"33","Chad",15.3,16.4,17.1,17.1
"34","Chile",19.8,19.1,16.3,16
"35","China",12.7,9,7.9,7.9
"36","Colombia",13,12,13.3,11.5
"37","Comoros",13.6,17.5,17.6,17.6
"38","Congo",20.9,16.1,14.2,13.9
"39","Congo (Democratic Republic of the)",16.7,14.7,14.8,15
"40","Costa Rica",13.9,14.5,12.8,12.8
"41","Croatia",28.1,21.5,19.7,18.8
"42","Cuba",22.9,18.3,16.3,16.4
"43","Cyprus",2.7,7.7,6.4,7.2
"44","Czechia",23.8,21.1,17.7,17.2
"45","Côte d'Ivoire",23.1,29.1,31.9,32
"46","Denmark",19.1,13.2,11.9,13.2
"47","Djibouti",11.3,9.9,11.6,11.9
"48","Dominican Republic",18.1,14.9,17.5,17.9
"49","Ecuador",9.1,12.8,14.8,10.7
"50","Egypt",6.3,6.5,6.8,7.2
"51","El Salvador",24.4,20.2,25.3,24.8
"52","Equatorial Guinea",33.5,33,31.5,31.3
"53","Eritrea",28.3,23.8,22.8,22.4
"54","Estonia",43.8,26.6,23.9,25.6
"55","Eswatini (Kingdom of)",26.1,24.4,25.1,25.4
"56","Ethiopia",21,19.2,18.7,18.7
"57","Fiji",6.8,7.9,8.9,8.8
"58","Finland",32.8,25.3,19,20.8
"59","France",25.1,21.8,18.5,17.9
"60","Gabon",14.1,14.7,15.5,15
"61","Gambia",14.6,12.7,12.9,12.8
"62","Georgia",9.8,10.6,12.2,12.3
"63","Germany",18,15.3,13.9,13.6
"64","Ghana",11.6,14.1,15.6,15.8
"65","Greece",4.5,4.6,5.8,6.1
"66","Grenada",4.1,2.2,1.5,2.1
"67","Guatemala",6.5,5.4,5,4.4
"68","Guinea",12.3,13.7,12.9,12.7
"69","Guinea-Bissau",10.7,9.5,8.8,8.9
"70","Guyana",41.2,44.9,46.6,46.6
"71","Haiti",16.3,16.5,18.5,18.3
"72","Honduras",5.1,4.8,5.1,5.3
"73","Hungary",43.9,33.2,24.3,22.2
"74","Iceland",25.4,19,20.9,21.7
"75","India",21.3,19.1,18.8,18.5
"76","Indonesia",5.9,5.6,5.3,5.2
"77","Iran (Islamic Republic of)",12.5,7.9,4.9,4.9
"78","Iraq",5,4.7,4.9,4.7
"79","Ireland",19.3,17.6,17.6,17.6
"80","Israel",12.1,12.1,7.7,8.2
"81","Italy",9,8.3,8.2,8.4
"82","Jamaica",4.2,3.2,3.2,3.2
"83","Japan",28,27.6,21.6,20.5
"84","Jordan",5.8,4.7,4.7,4.7
"85","Kazakhstan",63.1,56.1,44.2,40.1
"86","Kenya",13.2,9.5,9.4,9.7
"87","Kiribati",25.6,25.8,26,25.9
"88","Korea (Democratic People's Rep. of)",14.6,16.3,15.2,14.8
"89","Korea (Republic of)",20.8,39.3,31.4,29.6
"90","Kuwait",1.8,1.7,2.5,2.5
"91","Kyrgyzstan",26.5,20,14.5,14.8
"92","Lao People's Democratic Republic",16.8,13.5,12.8,12.9
"93","Latvia",54.3,35.8,30.9,31
"94","Lebanon",4.5,3.9,4.2,4.2
"95","Lesotho",21.3,22.2,22.5,22.7
"96","Liberia",12.9,13.5,13.2,13.8
"97","Libya",9.1,9.1,7.1,8.7
"98","Lithuania",81.7,56.4,51.5,47.5
"99","Luxembourg",20.6,15.3,17.4,15
"100","Madagascar",12.1,11.4,10.6,10.5
"101","Malawi",20.3,14.2,13.3,13.7
"102","Malaysia",10.4,9,8.7,8.7
"103","Maldives",7.7,4.7,4,3.6
"104","Mali",13.5,13.2,13.5,13.5
"105","Malta",8.9,12.2,10.8,10.3
"106","Mauritania",9.9,11.1,11.9,12.1
"107","Mauritius",17.3,12.2,12.1,12.5
"108","Mexico",6.9,7.9,9,8.2
"109","Micronesia (Federated States of)",17,16.5,16.7,16.2
"110","Moldova (Republic of)",29.2,32.5,24.9,24.1
"111","Mongolia",31.5,28,23.4,23.3
"112","Montenegro",13.6,12.9,12.3,12.6
"113","Morocco",6.7,3,2.5,2.5
"114","Mozambique",22.9,15.5,14,14
"115","Myanmar",4.8,6.2,6.3,6.3
"116","Namibia",24.3,22.7,19.8,19.4
"117","Nepal",20.9,13.5,11.9,11.4
"118","Netherlands",11.4,11.6,12.9,12.9
"119","New Zealand",21.3,17.7,17.3,17.3
"120","Nicaragua",29.4,19.8,19.3,19.2
"121","Niger",10.7,11.7,11.6,11.5
"122","Nigeria",16,16.1,17.2,17.5
"123","North Macedonia",10.3,7.2,9.7,9.7
"124","Norway",18.1,14.7,13.3,13.6
"125","Oman",7.1,5.1,5,4.8
"126","Pakistan",3.6,3.2,3.1,3
"127","Panama",11.7,9.1,6.7,7.6
"128","Papua New Guinea",11.8,9.1,10.1,10.2
"129","Paraguay",15.6,12.6,12.9,12.3
"130","Peru",8.8,7.5,7.6,7.6
"131","Philippines",4.5,5.7,5.4,5.2
"132","Poland",26.6,28,23.5,23.9
"133","Portugal",9.2,14.4,14.3,14.3
"134","Qatar",4.9,6.5,7.1,7.3
"135","Romania",19.9,19.8,16.2,13.9
"136","Russian Federation",85.8,62.3,49.9,48.3
"137","Rwanda",30.5,18.7,17.2,16.9
"138","Saint Lucia",13,11,12.9,12.7
"139","Saint Vincent and the Grenadines",13.6,5.7,4.3,3.9
"140","Samoa",16.7,10.3,8.9,8.7
"141","Sao Tome and Principe",3.8,3.9,4.2,4.2
