Country,Suicide.rate.M.2000,,Suicide.rate.M.2010,,Suicide.rate.M.2015,,Suicide.rate.M.2016
Afghanistan,14.3,,12.5,,10.9,,10.6
Albania,8.2,,9.5,,6.7,,7
Algeria,6.7,,5.1,,5,,4.9
Angola,21.9,,16.7,,14.8,,14
Antigua and Barbuda,4.3,,0.5,,0,,0
Argentina,16.2,,14.4,,14.4,,15
Armenia,5.7,,9.7,,10.7,,10.1
Australia,19.2,,16.8,,18.3,,17.4
Austria,25.2,,19.5,,18.2,,17.5
Azerbaijan,4.1,,5.1,,4.4,,4.3
Bahamas,3.7,,3.3,,2.9,,2.8
Bahrain,10,,7.1,,7.9,,7.9
Bangladesh,6.2,,4.9,,5.5,,5.5
Barbados,3.7,,2.6,,0.7,,0.8
Belarus,70.4,,58.1,,39.2,,39.3
Belgium,27.3,,24,,21.6,,22.2
Belize,12.5,,10.6,,10.1,,9.9
Benin,22.2,,22.1,,22.5,,22.6
Bhutan,19.8,,14.4,,14.1,,13.8
Bolivia (Plurinational State of),23.2,,19.4,,17.1,,16.9
Bosnia and Herzegovina,16.2,,10.5,,11,,10.6
Botswana,25.9,,21.8,,19,,18.3
Brazil,8.9,,9,,9.7,,9.7
Brunei Darussalam,5.1,,5.6,,6.1,,6.2
Bulgaria,22.1,,14,,13.1,,13.1
Burkina Faso,24.9,,22.6,,22.5,,22.4
Burundi,18.5,,22.4,,22.7,,23.1
Cabo Verde,24.1,,24.3,,23.8,,24.1
Cambodia,10.6,,9.4,,9,,9
Cameroon,28.4,,25.9,,27.2,,26.9
Canada,17.8,,16.3,,15.3,,15.1
Central African Republic,19.3,,20.9,,18.7,,18
Chad,15.3,,16.4,,17.1,,17.1
Chile,19.8,,19.1,,16.3,,16
China,12.7,,9,,7.9,,7.9
Colombia,13,,12,,13.3,,11.5
Comoros,13.6,,17.5,,17.6,,17.6
Congo,20.9,,16.1,,14.2,,13.9
Congo (Democratic Republic of the),16.7,,14.7,,14.8,,15
Costa Rica,13.9,,14.5,,12.8,,12.8
Croatia,28.1,,21.5,,19.7,,18.8
Cuba,22.9,,18.3,,16.3,,16.4
Cyprus,2.7,,7.7,,6.4,,7.2
Czechia,23.8,,21.1,,17.7,,17.2
Côte d'Ivoire,23.1,,29.1,,31.9,,32
Denmark,19.1,,13.2,,11.9,,13.2
Djibouti,11.3,,9.9,,11.6,,11.9
Dominican Republic,18.1,,14.9,,17.5,,17.9
Ecuador,9.1,,12.8,,14.8,,10.7
Egypt,6.3,,6.5,,6.8,,7.2
El Salvador,24.4,,20.2,,25.3,,24.8
Equatorial Guinea,33.5,,33,,31.5,,31.3
Eritrea,28.3,,23.8,,22.8,,22.4
Estonia,43.8,,26.6,,23.9,,25.6
Eswatini (Kingdom of),26.1,,24.4,,25.1,,25.4
Ethiopia,21,,19.2,,18.7,,18.7
Fiji,6.8,,7.9,,8.9,,8.8
Finland,32.8,,25.3,,19,,20.8
France,25.1,,21.8,,18.5,,17.9
Gabon,14.1,,14.7,,15.5,,15
Gambia,14.6,,12.7,,12.9,,12.8
Georgia,9.8,,10.6,,12.2,,12.3
Germany,18,,15.3,,13.9,,13.6
Ghana,11.6,,14.1,,15.6,,15.8
Greece,4.5,,4.6,,5.8,,6.1
Grenada,4.1,,2.2,,1.5,,2.1
Guatemala,6.5,,5.4,,5,,4.4
Guinea,12.3,,13.7,,12.9,,12.7
Guinea-Bissau,10.7,,9.5,,8.8,,8.9
Guyana,41.2,,44.9,,46.6,,46.6
Haiti,16.3,,16.5,,18.5,,18.3
Honduras,5.1,,4.8,,5.1,,5.3
Hungary,43.9,,33.2,,24.3,,22.2
