"Inequality in education (%)"
"HDI Rank (2018)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"170","Afghanistan","39.3","","39.3","","39.3","","45.0","","44.8","","44.8","","45.4","","45.4","","45.4"," a,b"
"69","Albania","12.7","","11.9","","11.9","","11.9","","11.9","","11.9","","9.1","","8.5","","12.3"," a,b"
"82","Algeria","..","","..","","..","","..","","..","","..","","33.7","","33.7","","33.7"," a,b"
"36","Andorra","..","","..","","..","","..","","..","","..","","..","","9.4","","10.0"," a,b"
"149","Angola","26.2","","..","","34.6","","34.6","","34.6","","34.6","","34.3","","34.3","","34.3"," a,b"
"48","Argentina","12.1","","12.1","","12.1","","8.6","","8.1","","8.1","","6.1","","6.2","","6.2"," a,b"
"81","Armenia","6.5","","6.5","","3.7","","3.7","","3.7","","3.7","","2.9","","2.9","","2.9"," a,b"
"6","Australia","1.7","","1.7","","1.7","","1.8","","1.9","","1.9","","3.7","","2.6","","2.7"," a,b"
"20","Austria","2.4","","2.4","","2.5","","3.7","","3.5","","4.3","","2.6","","2.6","","3.0"," a,b"
"87","Azerbaijan","12.0","","8.3","","8.3","","8.3","","8.3","","8.3","","4.3","","3.8","","5.3"," a,b"
"60","Bahamas","7.9","","7.9","","..","","8.0","","..","","..","","..","","6.3","","6.3"," a,b"
"45","Bahrain","..","","..","","..","","..","","..","","..","","..","","19.0","","22.7"," a,b"
"135","Bangladesh","44.8","","39.4","","39.4","","37.8","","38.6","","37.3","","37.3","","37.3","","37.7"," a,b"
"56","Barbados","..","","..","","..","","..","","5.5","","5.5","","5.5","","5.5","","5.5"," a,b"
"50","Belarus","8.0","","5.4","","5.4","","4.8","","3.7","","3.7","","3.7","","3.7","","3.7"," a,b"
"17","Belgium","5.2","","6.5","","7.6","","9.2","","8.1","","8.1","","9.3","","8.7","","7.7"," a,b"
"103","Belize","19.8","","..","","..","","..","","15.9","","15.9","","15.9","","15.9","","15.9"," a,b"
"163","Benin","44.1","","42.0","","42.0","","42.0","","44.8","","44.8","","44.8","","43.7","","43.7"," a,b"
"134","Bhutan","..","","44.8","","12.2","","13.3","","44.8","","44.8","","44.8","","41.7","","41.7"," a,b"
"114","Bolivia (Plurinational State of)","28.7","","27.6","","27.6","","27.6","","24.7","","20.8","","20.6","","20.0","","20.0"," a,b"
"75","Bosnia and Herzegovina","19.4","","5.2","","5.2","","5.2","","12.5","","12.5","","12.5","","19.8","","17.0"," a,b"
"94","Botswana","..","","..","","..","","32.1","","32.1","","32.1","","32.1","","..","","..",""
"79","Brazil","25.7","","25.7","","25.3","","24.7","","23.6","","22.6","","22.0","","22.0","","23.8"," a,b"
"52","Bulgaria","8.1","","5.9","","6.1","","5.8","","5.5","","5.5","","6.7","","6.5","","6.3"," a,b"
"182","Burkina Faso","37.3","","37.3","","36.2","","38.5","","38.6","","38.6","","35.7","","39.2","","39.2"," a,b"
"185","Burundi","36.3","","..","","..","","41.0","","36.9","","36.9","","36.9","","39.5","","39.5"," a,b"
"126","Cabo Verde","30.7","","30.7","","..","","18.2","","18.2","","18.2","","22.9","","23.7","","23.7"," a,b"
"146","Cambodia","31.1","","31.1","","28.3","","28.3","","28.3","","27.3","","27.3","","27.3","","27.3"," a,b"
"150","Cameroon","35.3","","35.3","","35.3","","34.8","","34.8","","34.8","","34.8","","33.0","","33.0"," a,b"
"13","Canada","3.2","","3.2","","3.2","","4.0","","3.9","","3.9","","2.1","","1.4","","2.7"," a,b"
"188","Central African Republic","45.9","","45.9","","45.9","","45.9","","34.5","","34.5","","34.5","","34.5","","34.5"," a,b"
"187","Chad","37.8","","43.4","","43.4","","43.4","","41.9","","41.9","","43.0","","43.0","","43.0"," a,b"
"42","Chile","13.3","","13.7","","13.7","","13.7","","12.6","","8.2","","8.2","","7.5","","20.5"," a,b"
"85","China","23.2","","23.2","","23.2","","..","","..","","..","","..","","11.5","","11.7"," a,b"
"79","Colombia","23.9","","22.8","","21.5","","22.1","","21.3","","17.4","","17.1","","19.4","","20.3"," a,b"
"156","Comoros","47.4","","47.4","","47.4","","47.4","","47.6","","47.6","","47.6","","47.6","","47.6"," a,b"
"138","Congo","30.0","","25.4","","25.4","","25.4","","21.5","","21.5","","21.5","","21.5","","20.9"," a,b"
"179","Congo (Democratic Republic of the)","29.1","","31.2","","31.2","","29.4","","27.7","","27.7","","27.7","","26.3","","28.5"," a,b"
"68","Costa Rica","17.7","","17.7","","15.7","","15.7","","15.5","","12.4","","12.3","","11.9","","17.0"," a,b"
"46","Croatia","10.4","","10.4","","10.4","","10.4","","4.3","","4.4","","5.0","","5.0","","4.9"," a,b"
"72","Cuba","..","","..","","..","","11.0","","11.3","","10.9","","10.9","","10.9","","10.9"," a,b"
"31","Cyprus","15.7","","15.0","","16.3","","14.0","","13.1","","12.4","","12.7","","11.7","","11.0"," a,b"
"26","Czechia","1.3","","1.3","","1.3","","1.4","","1.4","","1.4","","1.6","","1.6","","1.4"," a,b"
"165","Côte d'Ivoire","44.8","","43.2","","43.2","","45.4","","45.1","","45.1","","45.1","","47.4","","47.4"," a,b"
"11","Denmark","3.0","","3.1","","3.1","","3.1","","3.0","","3.0","","4.3","","4.3","","3.0"," a,b"
"171","Djibouti","47.0","","47.0","","47.0","","47.0","","47.0","","47.0","","47.0","","47.0","","..",""
"89","Dominican Republic","22.2","","26.8","","26.8","","24.0","","22.9","","19.9","","21.1","","19.1","","19.1"," a,b"
"85","Ecuador","21.8","","22.1","","22.1","","21.6","","21.1","","15.5","","14.2","","13.8","","16.5"," a,b"
"116","Egypt","43.6","","40.9","","40.9","","40.9","","40.9","","35.0","","36.9","","36.9","","38.1"," a,b"
"124","El Salvador","32.5","","32.4","","32.4","","30.2","","30.2","","26.6","","30.3","","30.3","","29.1"," a,b"
"144","Equatorial Guinea","29.2","","29.2","","..","","..","","..","","..","","..","","..","","..",""
"30","Estonia","3.1","","2.7","","2.6","","2.5","","2.4","","2.3","","2.4","","2.3","","2.1"," a,b"
"138","Eswatini (Kingdom of)","38.3","","29.8","","29.8","","26.8","","26.8","","26.8","","24.1","","24.1","","24.1"," a,b"
"173","Ethiopia","38.2","","38.2","","38.3","","44.3","","44.3","","36.6","","36.6","","43.5","","43.5"," a,b"
"98","Fiji","11.0","","..","","..","","10.5","","10.5","","10.5","","..","","..","","..",""
"12","Finland","4.7","","2.1","","2.4","","2.1","","2.1","","2.0","","2.0","","1.9","","2.3"," a,b"
"26","France","9.1","","9.1","","9.4","","8.6","","8.0","","7.5","","8.6","","8.6","","9.1"," a,b"
"115","Gabon","7.3","","7.3","","7.3","","23.5","","23.5","","23.5","","23.5","","23.5","","23.5"," a,b"
"174","Gambia","44.7","","..","","..","","..","","..","","..","","49.3","","49.3","","49.3"," a,b"
"70","Georgia","4.9","","3.3","","3.3","","3.3","","3.3","","2.2","","2.2","","2.2","","3.2"," a,b"
"4","Germany","2.3","","1.8","","1.8","","2.4","","2.4","","2.6","","2.6","","2.7","","2.7"," a,b"
