Country,EdInd,Homicide.rate,Prison.popn,Inequality-adjusted income index,Inequality in income (%),Inequality in education (%),Inequality in life expectancy (%)
Afghanistan,0.39655555555555555,6.25,77,0.3884,10.8,43.18888888888889,38.888888888888886
Albania,0.7444444444444445,3.9125,180.75,0.5912222222222222,16.622222222222224,11.344444444444445,9.844444444444445
Algeria,0.655888888888889,1.1833333333333333,145.57142857142858,0.658,11.4,33.7,15.911111111111111
Angola,0.4577777777777778,4.6,84,0.392,36.766666666666666,33.4375,42.67777777777778
Argentina,0.829111111111111,6.275,160.5,0.5585555555555556,29.233333333333334,8.844444444444445,9.555555555555555
Armenia,0.744,2.425,144.625,0.5715555555555555,14.033333333333333,4.055555555555555,11.922222222222222
Australia,0.9184444444444445,1,143.875,0.7571111111111111,17.166666666666668,2.188888888888889,4.188888888888889
Austria,0.8517777777777777,0.7,102.42857142857143,0.7785555555555556,15.533333333333333,3,3.7444444444444445
Azerbaijan,0.6764444444444445,2.257142857142857,232.28571428571428,0.7088888888888889,6.933333333333334,7.433333333333334,19.77777777777778
Bahamas,0.732111111111111,31.425,384.4,0.647,24.5,7.28,9.322222222222223
Bangladesh,0.4726666666666667,2.5375,45.714285714285715,0.41388888888888886,21.644444444444446,38.84444444444444,20.433333333333334
Barbados,0.7696666666666667,9.3625,334.7142857142857,0.5533333333333333,27.76666666666667,5.5,8.11111111111111
Belarus,0.836,3.7600000000000002,344.3333333333333,0.6875555555555556,11.033333333333333,4.677777777777778,6.355555555555556
Belgium,0.8841111111111111,1.7875,99.28571428571429,0.7975555555555556,12.666666666666666,7.822222222222222,4
Belize,0.6716666666666666,36.6625,617.875,0.39157142857142857,39.41428571428571,16.55,11.38888888888889
Benin,0.45011111111111113,1.1,71.33333333333333,0.32833333333333337,26.72222222222222,43.544444444444444,37.355555555555554
Bhutan,0.4328888888888889,2.6,141.25,0.52,20.942857142857143,36.0125,20.75
Bolivia (Plurinational State of),0.6626666666666666,9.642857142857142,131.625,0.3761111111111111,39.15555555555556,24.177777777777777,25.366666666666667
Bosnia and Herzegovina,0.6772222222222222,1.425,77.85714285714286,0.5607777777777777,21.08888888888889,12.144444444444444,7.3
Botswana,0.6522222222222223,15,214.125,0.33875,55.5,32.1,21.755555555555556
Brazil,0.6612222222222223,27.0875,304.375,0.46322222222222226,38.4,23.933333333333334,13.477777777777778
Bulgaria,0.7835555555555556,1.6375,115.875,0.6216666666666667,19.5,6.266666666666667,7.566666666666666
Burkina Faso,0.26844444444444443,0.8125,36,0.31533333333333335,23.58888888888889,37.84444444444445,38.13333333333333
Burundi,0.408,4.985714285714286,91.375,0.24457142857142858,17.457142857142856,38.14285714285714,41.3
Cabo Verde,0.5353333333333333,10.271428571428572,277.75,0.44225000000000003,28,23.287499999999998,13.11111111111111
Cambodia,0.4627777777777778,2.05,127,0.417,18.544444444444444,28.477777777777778,23.48888888888889
Cameroon,0.5156666666666667,2.585714285714286,117.14285714285714,0.38822222222222225,24.877777777777776,34.56666666666666,38.833333333333336
Canada,0.8724444444444445,1.6375,113.85714285714286,0.7574444444444445,17,3.066666666666667,4.677777777777778
Central African Republic,0.3338888888888889,19.8,18.333333333333332,0.192,39.82222222222222,39.56666666666666,44.711111111111116
Chile,0.7754444444444445,3.3857142857142857,297.75,0.5314444444444445,34.022222222222226,12.377777777777778,6.444444444444445
China,0.6304444444444445,0.7625,118.14285714285714,0.5214444444444445,28.57777777777778,18.56,10.533333333333333
Colombia,0.6647777777777778,30.125,234.125,0.4272222222222222,41.13333333333333,20.644444444444446,13.433333333333334
Costa Rica,0.6992222222222222,10.6375,277.625,0.4902222222222222,34.03333333333333,15.1,7.644444444444444
Croatia,0.7891111111111111,1.075,98.57142857142857,0.6397777777777778,20.677777777777777,7.2444444444444445,4.933333333333334
Cyprus,0.794,1.05,51.625,0.7331111111111112,15.555555555555555,13.544444444444444,3.944444444444444
Czechia,0.88,0.8,199,0.7596666666666667,10.8,1.4111111111111112,3.6222222222222222
Denmark,0.9195555555555556,0.9875,65.625,0.8091111111111111,12.844444444444445,3.3222222222222224,3.977777777777778
Dominican Republic,0.6352222222222222,19.357142857142858,222.875,0.5053333333333333,30.81111111111111,22.433333333333334,16.58888888888889
Ecuador,0.696,10.3625,161.5,0.4752222222222222,31.88888888888889,18.744444444444444,13.844444444444445
Egypt,0.5846666666666667,2.6,94,0.5271111111111111,24.23333333333333,39.34444444444444,13.622222222222222
El Salvador,0.5691111111111111,66.2375,480.625,0.44955555555555554,28.833333333333332,30.444444444444443,14.055555555555555
Estonia,0.877,3.7625,230,0.6907777777777778,17.822222222222223,2.488888888888889,5.344444444444444
Eswatini (Kingdom of),0.5277777777777778,10.4125,278.2,0.42233333333333334,37.84444444444444,27.844444444444445,32.1
